tablePow	mode	repeat	a1Score	a1Sec	a1Nodes	a1Hits	bScore	bSec	bNodes	bHits	a2Score	a2Sec	a2Nodes	a2Hits	totalSec	totalNodes
18	aOnly	1	3	0.146896971	742612	131686					3	0.128599693	837234	149376	0.27549666399999995	1579846
18	aOnly	2	3	0.134108548	742612	131686					3	0.142777716	837234	149376	0.276886264	1579846
18	aOnly	3	3	0.130691083	742612	131686					3	0.145453789	837234	149376	0.27614487200000004	1579846
18	aOnly	4	3	0.136696138	742612	131686					3	0.133008115	837234	149376	0.269704253	1579846
18	aOnly	5	3	0.126708751	742612	131686					3	0.142648092	837234	149376	0.269356843	1579846
18	aOnly	6	3	0.125288312	742612	131686					3	0.22313008	837234	149376	0.348418392	1579846
18	aOnly	7	3	0.142739221	742612	131686					3	0.133607586	837234	149376	0.276346807	1579846
18	shared	1	3	0.119294066	742612	131686	3	0.074392754	438725	80055	3	0.14694458	884006	155919	0.34063140000000003	2065343
18	shared	2	3	0.11341216	742612	131686	3	0.065975325	438725	80055	3	0.139337263	884006	155919	0.318724748	2065343
18	shared	3	3	0.110160745	742612	131686	3	0.069425859	438725	80055	3	0.136748521	884006	155919	0.31633512500000005	2065343
18	shared	4	3	0.116513106	742612	131686	3	0.067985711	438725	80055	3	0.15551202	884006	155919	0.340010837	2065343
18	shared	5	3	0.114227206	742612	131686	3	0.074817348	438725	80055	3	0.143151922	884006	155919	0.332196476	2065343
18	shared	6	3	0.133151721	742612	131686	3	0.069653444	438725	80055	3	0.147805847	884006	155919	0.350611012	2065343
18	shared	7	3	0.114044837	742612	131686	3	0.067649778	438725	80055	3	0.138505119	884006	155919	0.320199734	2065343
18	split	1	3	0.112475819	742612	131686	3	0.070855952	438725	80055	3	0.133228098	837234	149376	0.316559869	2018571
18	split	2	3	0.110101809	742612	131686	3	0.072578996	438725	80055	3	0.130189119	837234	149376	0.312869924	2018571
18	split	3	3	0.11743983	742612	131686	3	0.071150104	438725	80055	3	0.139958636	837234	149376	0.32854857000000004	2018571
18	split	4	3	0.128254379	742612	131686	3	0.071465779	438725	80055	3	0.131982266	837234	149376	0.33170242399999994	2018571
18	split	5	3	0.110010193	742612	131686	3	0.076248223	438725	80055	3	0.132463534	837234	149376	0.31872195000000003	2018571
18	split	6	3	0.113700431	742612	131686	3	0.072254639	438725	80055	3	0.131903861	837234	149376	0.317858931	2018571
18	split	7	3	0.123418943	742612	131686	3	0.076363321	438725	80055	3	0.145949071	837234	149376	0.345731335	2018571
18	clearBeforeA2	1	3	0.11554412	742612	131686	3	0.071666535	438725	80055	3	0.143976601	944195	162612	0.331187256	2125532
18	clearBeforeA2	2	3	0.119445815	742612	131686	3	0.072273809	438725	80055	3	0.142993252	944195	162612	0.334712876	2125532
18	clearBeforeA2	3	3	0.117320744	742612	131686	3	0.06797865	438725	80055	3	0.13929736	944195	162612	0.324596754	2125532
18	clearBeforeA2	4	3	0.110261667	742612	131686	3	0.066019372	438725	80055	3	0.146013624	944195	162612	0.322294663	2125532
18	clearBeforeA2	5	3	0.109759534	742612	131686	3	0.067632263	438725	80055	3	0.150945194	944195	162612	0.328336991	2125532
18	clearBeforeA2	6	3	0.122494549	742612	131686	3	0.074275229	438725	80055	3	0.141491353	944195	162612	0.338261131	2125532
18	clearBeforeA2	7	3	0.111181976	742612	131686	3	0.067706351	438725	80055	3	0.165104446	944195	162612	0.343992773	2125532
19	aOnly	1	3	0.177937114	716129	125628					3	0.157569943	770698	137654	0.335507057	1486827
19	aOnly	2	3	0.146316026	716129	125628					3	0.148832381	770698	137654	0.295148407	1486827
