pair	relation	mode	repeat	aScore	aSec	aNodes	aHits	bScore	bSec	bNodes	bHits	totalSec	totalNodes	totalHits
incompatible-c5r1-opposite-owner	incompatible	clearBetween	1	3	0.114834344	426562	77403	3	0.191291851	899156	153537	0.30612619500000005	1325718	230940
incompatible-c5r1-opposite-owner	incompatible	clearBetween	2	3	0.084878008	426562	77403	3	0.161920915	899156	153537	0.246798923	1325718	230940
incompatible-c5r1-opposite-owner	incompatible	clearBetween	3	3	0.083219226	426562	77403	3	0.180397347	899156	153537	0.263616573	1325718	230940
incompatible-c5r1-opposite-owner	incompatible	clearBetween	4	3	0.081680662	426562	77403	3	0.189216326	899156	153537	0.270896988	1325718	230940
incompatible-c5r1-opposite-owner	incompatible	clearBetween	5	3	0.089537845	426562	77403	3	0.159850096	899156	153537	0.249387941	1325718	230940
incompatible-c5r1-opposite-owner	incompatible	clearBetween	6	3	0.078346055	426562	77403	3	0.152259926	899156	153537	0.230605981	1325718	230940
incompatible-c5r1-opposite-owner	incompatible	clearBetween	7	3	0.078313102	426562	77403	3	0.186404497	899156	153537	0.264717599	1325718	230940
incompatible-c5r1-opposite-owner	incompatible	shared	1	3	0.073698034	426562	77403	3	0.158672063	899156	153537	0.232370097	1325718	230940
incompatible-c5r1-opposite-owner	incompatible	shared	2	3	0.083798308	426562	77403	3	0.158443146	899156	153537	0.24224145400000002	1325718	230940
incompatible-c5r1-opposite-owner	incompatible	shared	3	3	0.074564098	426562	77403	3	0.147267839	899156	153537	0.221831937	1325718	230940
incompatible-c5r1-opposite-owner	incompatible	shared	4	3	0.08246717	426562	77403	3	0.15487844	899156	153537	0.23734561	1325718	230940
incompatible-c5r1-opposite-owner	incompatible	shared	5	3	0.105272063	426562	77403	3	0.176316746	899156	153537	0.281588809	1325718	230940
incompatible-c5r1-opposite-owner	incompatible	shared	6	3	0.080187745	426562	77403	3	0.16534903	899156	153537	0.245536775	1325718	230940
