pow	mode	repeat	activeEntries	perTaskEntries	seconds	nodes	hits	A1score	A1nodes	A1hits	A1seconds	Bscore	Bnodes	Bhits	Bseconds	A2score	A2nodes	A2hits	A2seconds
18	sharedN	0	262144	262144	0.319795317	2065343	367660	3	742612	131686	0.111540184	3	438725	80055	0.064812769	3	884006	155919	0.143250665
18	shared2N	0	524288	524288	0.378171091	1935328	344169	3	716129	125628	0.139610485	3	426562	77403	0.085193341	3	792637	141138	0.15321178
18	splitN	0	524288	262144	0.330231409	2018571	361117	3	742612	131686	0.116772299	3	438725	80055	0.079222173	3	837234	149376	0.134157418
18	groupedN	0	262144	262144	0.31958132	2018571	361117	3	742612	131686	0.114425201	3	438725	80055	0.07368527	3	837234	149376	0.131391689
18	sharedN	1	262144	262144	0.314702448	2065343	367660	3	742612	131686	0.115672011	3	438725	80055	0.067212815	3	884006	155919	0.131738653
18	groupedN	1	262144	262144	0.311368243	2018571	361117	3	742612	131686	0.111143156	3	438725	80055	0.068004158	3	837234	149376	0.132143082
18	splitN	1	524288	262144	0.311448054	2018571	361117	3	742612	131686	0.109901185	3	438725	80055	0.071735491	3	837234	149376	0.129730576
18	shared2N	1	524288	524288	0.313099663	1935328	344169	3	716129	125628	0.119500441	3	426562	77403	0.066620333	3	792637	141138	0.12689994
18	splitN	2	524288	262144	0.303457261	2018571	361117	3	742612	131686	0.10843116	3	438725	80055	0.070881394	3	837234	149376	0.124067262
18	groupedN	2	262144	262144	0.300700908	2018571	361117	3	742612	131686	0.110983315	3	438725	80055	0.068214345	3	837234	149376	0.121426242
18	sharedN	2	262144	262144	0.308862057	2065343	367660	3	742612	131686	0.110631865	3	438725	80055	0.066383045	3	884006	155919	0.131769419
18	shared2N	2	524288	524288	0.40214669	1935328	344169	3	716129	125628	0.189132591	3	426562	77403	0.079478399	3	792637	141138	0.133457392
18	splitN	3	524288	262144	0.313093703	2018571	361117	3	742612	131686	0.115277346	3	438725	80055	0.070809595	3	837234	149376	0.126926801
18	shared2N	3	524288	524288	0.324328534	1935328	344169	3	716129	125628	0.121262716	3	426562	77403	0.069917952	3	792637	141138	0.133068437
18	sharedN	3	262144	262144	0.306994702	2065343	367660	3	742612	131686	0.107968923	3	438725	80055	0.06514531	3	884006	155919	0.133803403
18	groupedN	3	262144	262144	0.303068543	2018571	361117	3	742612	131686	0.112968296	3	438725	80055	0.067565919	3	837234	149376	0.122457632
18	sharedN	4	262144	262144	0.319769099	2065343	367660	3	742612	131686	0.110641106	3	438725	80055	0.066037224	3	884006	155919	0.143016107
18	shared2N	4	524288	524288	0.428122666	1935328	344169	3	716129	125628	0.14722242	3	426562	77403	0.115953617	3	792637	141138	0.164859436
18	splitN	4	524288	262144	0.348611815	2018571	361117	3	742612	131686	0.126628415	3	438725	80055	0.079031579	3	837234	149376	0.142846191
18	groupedN	4	262144	262144	0.364097697	2018571	361117	3	742612	131686	0.131381111	3	438725	80055	0.078982976	3	837234	149376	0.153633308
19	sharedN	0	524288	524288	0.333619747	1935328	344169	3	716129	125628	0.120333592	3	426562	77403	0.072911901	3	792637	141138	0.140294904
19	shared2N	0	1048576	1048576	0.433837053	1883891	334691	3	705611	123795	0.167420038	3	421378	75973	0.098527749	3	756902	134923	0.167811708
19	splitN	0	1048576	524288	0.348447887	1913389	340685	3	716129	125628	0.120530139	3	426562	77403	0.079620067	3	770698	137654	0.148222478
19	groupedN	0	524288	524288	0.345209133	1913389	340685	3	716129	125628	0.127442071	3	426562	77403	0.078896926	3	770698	137654	0.138796544
19	sharedN	1	524288	524288	0.333558153	1935328	344169	3	716129	125628	0.124575038	3	426562	77403	0.072124844	3	792637	141138	0.136784019
19	groupedN	1	524288	524288	0.340017954	1913389	340685	3	716129	125628	0.121993955	3	426562	77403	0.088957127	3	770698	137654	0.128987873
19	splitN	1	1048576	524288	0.380354631	1913389	340685	3	716129	125628	0.132808162	3	426562	77403	0.10382194	3	770698	137654	0.143648866
19	shared2N	1	1048576	1048576	0.497549011	1883891	334691	3	705611	123795	0.198025331	3	421378	75973	0.119995606	3	756902	134923	0.179441422
19	splitN	2	1048576	524288	0.382347652	1913389	340685	3	716129	125628	0.140848857	3	426562	77403	0.085712625	3	770698	137654	0.15570633
19	groupedN	2	524288	524288	0.409563881	1913389	340685	3	716129	125628	0.139934282	3	426562	77403	0.093496467	3	770698	137654	0.176049447
19	sharedN	2	524288	524288	0.375276945	1935328	344169	3	716129	125628	0.133452839	3	426562	77403	0.074903203	3	792637	141138	0.166841873
19	shared2N	2	1048576	1048576	0.499542908	1883891	334691	3	705611	123795	0.191195098	3	421378	75973	0.117399364	3	756902	134923	0.190870569
19	splitN	3	1048576	524288	0.343151234	1913389	340685	3	716129	125628	0.121692146	3	426562	77403	0.080260828	3	770698	137654	0.141118299
19	shared2N	3	1048576	1048576	0.426119304	1883891	334691	3	705611	123795	0.154217673	3	421378	75973	0.090666323	3	756902	134923	0.181155056
19	sharedN	3	524288	524288	0.328371177	1935328	344169	3	716129	125628	0.123382155	3	426562	77403	0.072172265	3	792637	141138	0.132740691
