seq	workers	totalPow	mode	repeat	score	sec	nodes	ttHits	crossHits	tasks	activeEntries	slabUtilization	promotionSig2s
41267575	4	21	flatQuarter	1	3	1.063982801	10836958	1943141	343850	246	524288	0.25	
41267575	4	21	flatQuarter	2	3	1.167243931	10797407	1978849	379659	242	524288	0.25	
41267575	4	21	flatQuarter	3	3	0.997126906	10340854	1868336	296326	230	524288	0.25	
41267575	4	21	flatQuarter	4	3	1.091719758	10950533	1935604	337115	244	524288	0.25	
41267575	4	21	flatQuarter	5	3	1.069106332	10962455	1940788	331438	246	524288	0.25	
41267575	4	21	promote3	1	3	1.271374634	10934706	1984025	352260	239	2097152	1	878090,878218,878114
41267575	4	21	promote3	2	3	1.074775067	10900391	1965702	320656	238	2097152	1	878090,878218,878114
41267575	4	21	promote3	3	3	1.025685711	10422551	1919116	332888	231	2097152	1	878090,878218,878114
41267575	4	21	promote3	4	3	1.049547664	10626616	1955900	349104	239	2097152	1	878090,878218,878114
41267575	4	21	promote3	5	3	1.108739048	10999438	1973368	351957	240	2097152	1	878090,878218,878114
41267575	4	21	flatHalf	1	3	1.191136772	9104395	1728611	397258	237	1048576	0.5	
41267575	4	21	flatHalf	2	3	1.407168878	9210955	1712339	358300	237	1048576	0.5	
41267575	4	21	flatHalf	3	3	1.430535821	8650100	1628127	294583	226	1048576	0.5	
41267575	4	21	flatHalf	4	3	1.087523788	8787936	1654107	324214	228	1048576	0.5	
41267575	4	21	flatHalf	5	3	1.393251313	9137076	1725397	360144	237	1048576	0.5	
41267575	4	21	promote1	1	3	1.389062382	9070866	1725784	341958	231	2097152	1	878090
41267575	4	21	promote1	2	3	1.194582209	9297390	1791529	353020	237	2097152	1	878090
41267575	4	21	promote1	3	3	1.374622362	9293211	1763724	360621	237	2097152	1	878090
41267575	4	21	promote1	4	3	1.278628875	8892560	1686398	303326	227	2097152	1	878090
41267575	4	21	promote1	5	3	1.058267646	9221885	1810105	442051	238	2097152	1	878090
41267575	4	21	flat	1	3	1.504862008	8481773	1700910	448250	237	2097152	1	
41267575	4	21	flat	2	3	1.435284682	8234581	1669485	393137	227	2097152	1	
41267575	4	21	flat	3	3	1.436506908	8533368	1718460	436735	237	2097152	1	
41267575	4	21	flat	4	3	1.432357214	8526949	1707449	413784	237	2097152	1	
41267575	4	21	flat	5	3	1.444234717	8443688	1708704	423753	237	2097152	1	
41267575	1	21	flatQuarter	1	3	1.090999328	5854083	1103053	0	136	524288	0.25	
41267575	1	21	flatQuarter	2	3	1.064935626	5854083	1103053	0	136	524288	0.25	
41267575	1	21	flatQuarter	3	3	1.20123235	5854083	1103053	0	136	524288	0.25	
41267575	1	21	flatQuarter	4	3	1.2275567	5854083	1103053	0	136	524288	0.25	
41267575	1	21	flatQuarter	5	3	1.071616526	5854083	1103053	0	136	524288	0.25	
41267575	1	21	promote3	1	3	1.11209962	5832764	1117479	0	136	2097152	1	878090,878218,878114
41267575	1	21	promote3	2	3	1.204692621	5832764	1117479	0	136	2097152	1	878090,878218,878114
41267575	1	21	promote3	3	3	1.134246203	5832764	1117479	0	136	2097152	1	878090,878218,878114
41267575	1	21	promote3	4	3	1.156396728	5832764	1117479	0	136	2097152	1	878090,878218,878114
41267575	1	21	promote3	5	3	1.151743289	5832764	1117479	0	136	2097152	1	878090,878218,878114
