record	seq	workers	totalPow	mode	repeat	score	sec	nodes	ttHits	tasks	activeEntries	promotionSig2s	profileTop
profile	41267575	1	21	profile		3		5854083					1008138:1811520,878090:822430,877066:595165,877194:579281,976906:418848,975370:394036,1009162:271714,1008266:166142,975498:161347,878106:126738,1008162:90286,878618:71053
run	41267575	1	21	flatQuarter	1	3	1.242658992	5854083	1103053	136	524288		
run	41267575	1	21	flatQuarter	2	3	1.068363871	5854083	1103053	136	524288		
run	41267575	1	21	flatQuarter	3	3	1.230547066	5854083	1103053	136	524288		
run	41267575	1	21	flatQuarter	4	3	1.209528688	5854083	1103053	136	524288		
run	41267575	1	21	flatQuarter	5	3	1.118616812	5854083	1103053	136	524288		
run	41267575	1	21	promote3	1	3	1.091540135	5832764	1117479	136	2097152	878090,878218,878114	
run	41267575	1	21	promote3	2	3	1.192882023	5832764	1117479	136	2097152	878090,878218,878114	
run	41267575	1	21	promote3	3	3	1.195868889	5832764	1117479	136	2097152	878090,878218,878114	
run	41267575	1	21	promote3	4	3	1.127108946	5832764	1117479	136	2097152	878090,878218,878114	
run	41267575	1	21	promote3	5	3	1.055724321	5832764	1117479	136	2097152	878090,878218,878114	
run	41267575	1	21	oracle3	1	3	1.432622885	6722621	1304460	136	2097152	1008138,878090,877066	
run	41267575	1	21	oracle3	2	3	1.349428022	6722621	1304460	136	2097152	1008138,878090,877066	
run	41267575	1	21	oracle3	3	3	1.248186965	6722621	1304460	136	2097152	1008138,878090,877066	
run	41267575	1	21	oracle3	4	3	1.403777403	6722621	1304460	136	2097152	1008138,878090,877066	
run	41267575	1	21	oracle3	5	3	1.53956628	6722621	1304460	136	2097152	1008138,878090,877066	
