tablePow	mode	repeat	captureScore	captureNodes	passTasks	resolvedTasks	unresolvedTasks	domain0Tasks	domain1Tasks	totalSec	totalNodes	totalHits	domain0Nodes	domain1Nodes	domain0Hits	domain1Hits	scoreVector
18	clearEach	1	3	5854083	50	30	20	15	15	0.8854183270000002	5671737	993955	1296065	4375672	231176	762779	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
18	clearEach	2	3	5854083	50	30	20	15	15	0.9054360810000001	5671737	993955	1296065	4375672	231176	762779	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
18	clearEach	3	3	5854083	50	30	20	15	15	0.8972921220000001	5671737	993955	1296065	4375672	231176	762779	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
18	sharedInterleaved	1	3	5854083	50	30	20	15	15	0.6064410909999999	3672447	665861	897941	2774506	164562	501299	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
18	sharedInterleaved	2	3	5854083	50	30	20	15	15	0.596258365	3672447	665861	897941	2774506	164562	501299	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
18	sharedInterleaved	3	3	5854083	50	30	20	15	15	0.627807719	3672447	665861	897941	2774506	164562	501299	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
18	sharedGrouped	1	3	5854083	50	30	20	15	15	0.5181313359999999	3121037	565930	870722	2250315	159936	405994	3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3
18	sharedGrouped	2	3	5854083	50	30	20	15	15	0.49202519	3121037	565930	870722	2250315	159936	405994	3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3
18	sharedGrouped	3	3	5854083	50	30	20	15	15	0.45330878200000013	3121037	565930	870722	2250315	159936	405994	3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3
18	splitInterleaved	1	3	5854083	50	30	20	15	15	0.49887183899999993	3121037	565930	870722	2250315	159936	405994	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
18	splitInterleaved	2	3	5854083	50	30	20	15	15	0.512721715	3121037	565930	870722	2250315	159936	405994	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
18	splitInterleaved	3	3	5854083	50	30	20	15	15	0.515903139	3121037	565930	870722	2250315	159936	405994	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
19	clearEach	1	3	5854083	50	30	20	15	15	0.965435306	5481452	951183	1259173	4222279	222915	728268	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
19	clearEach	2	3	5854083	50	30	20	15	15	0.9995022299999999	5481452	951183	1259173	4222279	222915	728268	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
19	clearEach	3	3	5854083	50	30	20	15	15	1.0237095929999998	5481452	951183	1259173	4222279	222915	728268	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
19	sharedInterleaved	1	3	5854083	50	30	20	15	15	0.542767959	2920062	526585	844941	2075121	153357	373228	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
19	sharedInterleaved	2	3	5854083	50	30	20	15	15	0.5060537380000001	2920062	526585	844941	2075121	153357	373228	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
19	sharedInterleaved	3	3	5854083	50	30	20	15	15	0.501747207	2920062	526585	844941	2075121	153357	373228	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
