source	seq	workers	totalPow	mode	repeat	score	sec	nodes	ttHits	crossHits	tasks	promotionSig2s
selective-412-4w-2m-modes.jsonl	41267575	4	21	flat	1	3	1.352435997	8529780	1709159	445091	235	
selective-412-4w-2m-modes.jsonl	41267575	4	21	flat	2	3	1.308088963	8505226	1710785	438341	237	
selective-412-4w-2m-modes.jsonl	41267575	4	21	flat	3	3	1.263258697	8538958	1715354	430338	237	
selective-412-4w-2m-modes.jsonl	41267575	4	21	flat	4	3	1.31109486	8450831	1698252	402648	235	
selective-412-4w-2m-modes.jsonl	41267575	4	21	flat	5	3	1.368528072	8500625	1717506	444148	238	
selective-412-4w-2m-modes.jsonl	41267575	4	21	promote1	1	3	1.167258156	9350875	1807298	416921	238	878090
selective-412-4w-2m-modes.jsonl	41267575	4	21	promote1	2	3	1.206499594	9111233	1768264	387592	237	878090
selective-412-4w-2m-modes.jsonl	41267575	4	21	promote1	3	3	1.280149193	9278954	1778847	383253	238	878090
selective-412-4w-2m-modes.jsonl	41267575	4	21	promote1	4	3	1.318415778	9276910	1792603	374086	237	878090
selective-412-4w-2m-modes.jsonl	41267575	4	21	promote1	5	3	1.234135044	9343554	1783779	376969	239	878090
selective-412-4w-2m-modes.jsonl	41267575	4	21	promote3	1	3	1.0520767	10809205	1983905	353335	238	878090,878218,878114
selective-412-4w-2m-modes.jsonl	41267575	4	21	promote3	2	3	0.971188769	10881559	1966997	322421	238	878090,878218,878114
selective-412-4w-2m-modes.jsonl	41267575	4	21	promote3	3	3	0.931976681	10313724	1873394	302620	227	878090,878218,878114
selective-412-4w-2m-modes.jsonl	41267575	4	21	promote3	4	3	1.030045366	11057944	1979170	337569	247	878090,878218,878114
selective-412-4w-2m-modes.jsonl	41267575	4	21	promote3	5	3	0.965401119	10891761	1993090	332433	239	878090,878218,878114
selective-412-4w-2m-modes.jsonl	41267575	4	21	weighted	1	3	1.112454697	10841253	2006920	349909	239	878090,878218
selective-412-4w-2m-modes.jsonl	41267575	4	21	weighted	2	3	1.073393914	10887269	2001519	348168	238	878090,878218
selective-412-4w-2m-modes.jsonl	41267575	4	21	weighted	3	3	1.267145449	11172918	2017005	360313	244	878090,878218
selective-412-4w-2m-modes.jsonl	41267575	4	21	weighted	4	3	1.151168883	10621203	1923491	321085	237	878090,878218
selective-412-4w-2m-modes.jsonl	41267575	4	21	weighted	5	3	1.142960048	10908298	1990726	357255	238	878090,878218
selective-412-4w-2m-reversed-p3-flat.jsonl	41267575	4	21	promote3	1	3	1.054039257	10937211	2010014	360678	240	878090,878218,878114
selective-412-4w-2m-reversed-p3-flat.jsonl	41267575	4	21	promote3	2	3	1.009697614	10923851	1964504	336100	238	878090,878218,878114
selective-412-4w-2m-reversed-p3-flat.jsonl	41267575	4	21	promote3	3	3	0.934432961	10878624	1991895	374483	237	878090,878218,878114
selective-412-4w-2m-reversed-p3-flat.jsonl	41267575	4	21	promote3	4	3	1.00238838	10938323	1964946	323776	240	878090,878218,878114
selective-412-4w-2m-reversed-p3-flat.jsonl	41267575	4	21	promote3	5	3	0.984243153	10655942	1948479	336260	239	878090,878218,878114
selective-412-4w-2m-reversed-p3-flat.jsonl	41267575	4	21	flat	1	3	1.29977988	8301069	1683019	423397	233	
selective-412-4w-2m-reversed-p3-flat.jsonl	41267575	4	21	flat	2	3	1.310160293	8524932	1716556	467336	236	
selective-412-4w-2m-reversed-p3-flat.jsonl	41267575	4	21	flat	3	3	1.400399851	8518959	1720268	464280	237	
selective-412-4w-2m-reversed-p3-flat.jsonl	41267575	4	21	flat	4	3	1.188527343	8496907	1704110	425057	236	
selective-412-4w-2m-reversed-p3-flat.jsonl	41267575	4	21	flat	5	3	1.395296334	8521392	1710837	402751	237	
selective-412-1w-2m-p3.jsonl	41267575	1	21	flat	1	3	1.497987094	4903537	1031774	0	136	
selective-412-1w-2m-p3.jsonl	41267575	1	21	flat	2	3	1.478114222	4903537	1031774	0	136	
selective-412-1w-2m-p3.jsonl	41267575	1	21	flat	3	3	1.511599562	4903537	1031774	0	136	
selective-412-1w-2m-p3.jsonl	41267575	1	21	flat	4	3	1.466786932	4903537	1031774	0	136	
selective-412-1w-2m-p3.jsonl	41267575	1	21	flat	5	3	1.560571617	4903537	1031774	0	136	
selective-412-1w-2m-p3.jsonl	41267575	1	21	promote1	1	3	1.375506872	5359326	1083281	0	136	878090
selective-412-1w-2m-p3.jsonl	41267575	1	21	promote1	2	3	1.404481962	5359326	1083281	0	136	878090
selective-412-1w-2m-p3.jsonl	41267575	1	21	promote1	3	3	1.244206166	5359326	1083281	0	136	878090
selective-412-1w-2m-p3.jsonl	41267575	1	21	promote1	4	3	1.239021455	5359326	1083281	0	136	878090
selective-412-1w-2m-p3.jsonl	41267575	1	21	promote1	5	3	1.32488051	5359326	1083281	0	136	878090
selective-412-1w-2m-p3.jsonl	41267575	1	21	promote3	1	3	1.244364146	5832764	1117479	0	136	878090,878218,878114
selective-412-1w-2m-p3.jsonl	41267575	1	21	promote3	2	3	1.248090243	5832764	1117479	0	136	878090,878218,878114
selective-412-1w-2m-p3.jsonl	41267575	1	21	promote3	3	3	1.220521763	5832764	1117479	0	136	878090,878218,878114
selective-412-1w-2m-p3.jsonl	41267575	1	21	promote3	4	3	1.099859422	5832764	1117479	0	136	878090,878218,878114
selective-412-1w-2m-p3.jsonl	41267575	1	21	promote3	5	3	1.211204364	5832764	1117479	0	136	878090,878218,878114
