mode	pass	id	sig2	descId	offsetEntries	tablePow	nodes	seconds	ttHits	crossHits
flat	1	1	878090	0	0	20	11365	0.008894818	1275	0
flat	1	2	878090	0	0	20	850	0.000770393	129	0
flat	1	4	1009162	0	0	20	6	4.216e-06	0	0
flat	1	5	878114	0	0	20	1221	0.000324408	113	1
flat	1	3	878218	0	0	20	1773	0.001636578	216	0
flat	1	6	878090	0	0	20	962	0.000283908	130	1
flat	1	7	878094	0	0	20	832	0.000717966	113	54
flat	2	8	878090	0	0	20	3952	0.003970413	375	15
flat	2	10	877130	0	0	20	211	7.9577e-05	10	0
flat	2	11	975370	0	0	20	1079	0.00029867	83	0
flat	2	12	877082	0	0	20	1013	0.000249317	94	0
flat	2	13	877066	0	0	20	446	0.000120557	47	0
flat	2	14	877069	0	0	20	314	8.9732e-05	37	0
flat	2	9	878602	0	0	20	7051	0.004723921	691	0
flat	2	15	878090	0	0	20	1	7.321e-06	1	0
flat	2	16	976930	0	0	20	3	2.934e-06	1	1
flat	2	19	976906	0	0	20	3	4.306e-06	1	1
flat	2	20	977034	0	0	20	3	6.9733e-05	1	1
flat	2	17	878090	0	0	20	2621	0.000674012	279	0
flat	2	23	878154	0	0	20	415	0.000109291	32	0
flat	2	24	976394	0	0	20	5	5.568e-06	1	0
flat	2	25	878106	0	0	20	546	0.000139815	92	0
flat	2	26	878093	0	0	20	384	8.8981e-05	47	0
flat	2	21	976906	0	0	20	7127	0.001646562	860	253
flat	2	18	878090	0	0	20	3809	0.003553408	472	150
flat	2	27	878666	0	0	20	286	0.000668113	29	18
flat	2	28	976906	0	0	20	1934	0.002914088	172	57
flat	2	22	976906	0	0	20	12247	0.009873127	1226	13
flat	2	30	878602	0	0	20	1	3.846e-06	1	1
flat	2	29	878618	0	0	20	1290	0.002122994	149	51
flat	2	31	1009674	0	0	20	2624	0.000630948	269	0
flat	2	34	878626	0	0	20	4	2.614e-06	0	0
flat	2	36	878602	0	0	20	4	2.293e-06	0	0
flat	2	37	878730	0	0	20	4	2.274e-06	0	0
flat	2	38	878602	0	0	20	12	5.709e-06	0	0
flat	2	32	878602	0	0	20	1511	0.001152366	208	85
flat	2	39	878606	0	0	20	4	2.013e-06	0	0
flat	2	40	878858	0	0	20	1	7.26e-06	0	0
flat	2	33	878605	0	0	20	649	0.001819852	84	33
flat	2	41	878618	0	0	20	1394	0.000972721	167	58
flat	2	42	878605	0	0	20	784	0.000198042	121	40
flat	2	35	878602	0	0	20	4785	0.001811356	641	215
flat	3	43	878090	0	0	20	233109	0.071167207	38728	2581
flat	3	44	878090	0	0	20	5211	0.001625381	922	400
flat	3	46	1009162	0	0	20	6	3.455e-06	4	4
flat	3	45	878218	0	0	20	7445	0.00228397	1923	708
flat	3	47	878114	0	0	20	7668	0.002221959	1790	467
flat	3	48	878090	0	0	20	5436	0.001633834	1422	618
flat	3	49	878094	0	0	20	5519	0.00147449	1639	574
flat	4	50	878090	0	0	20	56345	0.016024298	10846	10
flat	4	52	877130	0	0	20	1389	0.000393689	318	95
flat	4	51	878602	0	0	20	6079	0.001511504	479	2
flat	4	53	975370	0	0	20	14039	0.003430818	2767	380
flat	4	56	877082	0	0	20	11337	0.002830956	2142	277
flat	4	57	877066	0	0	20	4389	0.000960924	979	136
flat	4	58	877069	0	0	20	2733	0.000641624	701	99
flat	4	54	877066	0	0	20	106430	0.036772228	18653	325
flat	4	55	877194	0	0	20	325206	0.086889121	42642	1931
flat	4	59	878090	0	0	20	1	2.864e-06	1	1
flat	4	60	976930	0	0	20	2	6.98e-06	1	1
flat	4	63	976906	0	0	20	1	1.713e-06	1	1
flat	4	64	977034	0	0	20	1	4.226e-06	1	1
flat	4	62	878090	0	0	20	22483	0.005569476	4893	1794
flat	4	67	878154	0	0	20	5252	0.001191253	826	200
flat	4	68	976394	0	0	20	5	3.385e-06	4	4
flat	4	69	878106	0	0	20	21553	0.0047236	4550	1645
flat	4	61	878090	0	0	20	37014	0.012487454	6235	778
flat	4	70	878093	0	0	20	14750	0.003006623	2416	217
flat	4	71	878666	0	0	20	1322	0.000279371	327	86
flat	4	72	976906	0	0	20	16515	0.003177726	3632	450
flat	4	73	878618	0	0	20	11003	0.00235196	2523	289
flat	4	74	878605	0	0	20	4804	0.000933794	1172	117
flat	4	65	976906	0	0	20	104457	0.026168375	22351	1827
flat	4	66	976906	0	0	20	212973	0.04655395	35668	2759
flat	4	76	1009674	0	0	20	1	4.116e-06	1	1
flat	4	75	878602	0	0	20	1	1.372e-06	1	1
flat	4	77	878626	0	0	20	4	4.857e-06	0	0
flat	4	79	878602	0	0	20	2	2.083e-06	1	1
flat	4	80	878730	0	0	20	1	7.61e-07	1	1
flat	4	81	878602	0	0	20	1	6e-07	1	1
flat	4	78	878602	0	0	20	12	1.4341e-05	5	5
flat	4	82	878606	0	0	20	2	1.172e-06	1	1
flat	4	83	976906	0	0	20	1	7.31e-07	1	1
flat	4	85	975370	0	0	20	4	2.524e-06	1	0
flat	4	86	975498	0	0	20	3	2.744e-06	1	1
flat	4	84	977034	0	0	20	1	9.51e-07	1	0
flat	4	89	975498	0	0	20	1	1.152e-06	1	1
flat	4	88	975394	0	0	20	22	1.5102e-05	2	2
flat	4	90	975754	0	0	20	4	1.5513e-05	1	0
flat	4	93	975522	0	0	20	141	7.7283e-05	12	1
flat	4	87	975370	0	0	20	78075	0.025785251	11621	5551
flat	4	92	975370	0	0	20	137856	0.041927303	22214	12814
flat	4	95	877066	0	0	20	53	2.6429e-05	30	30
flat	4	97	878602	0	0	20	21796	0.007495069	4508	1012
flat	4	98	878666	0	0	20	3612	0.001226875	599	271
flat	4	91	975498	0	0	20	173554	0.0581203	29502	11466
flat	4	99	878618	0	0	20	24884	0.008080551	5790	1961
flat	4	100	878605	0	0	20	10290	0.002696999	2551	472
flat	4	96	878090	0	0	20	83620	0.027708792	12234	315
flat	4	94	975498	0	0	20	359260	0.103843899	51424	13406
flat	4	101	877194	0	0	20	1	2.033e-06	1	0
flat	4	103	878730	0	0	20	47	2.5507e-05	3	0
flat	4	102	878218	0	0	20	2743	0.001159947	531	29
flat	4	106	878218	0	0	20	2169	0.000780418	884	627
flat	4	108	1009290	0	0	20	6	4.847e-06	0	0
flat	4	109	878242	0	0	20	625	0.000207726	188	137
flat	4	110	878218	0	0	20	25638	0.008434661	3792	73
flat	4	111	878222	0	0	20	2679	0.000794098	325	132
flat	4	104	877194	0	0	20	40029	0.013494396	5800	8
flat	4	105	877450	0	0	20	45031	0.014205252	6807	699
flat	4	112	1008266	0	0	20	19738	0.004408707	2466	1
flat	4	113	878922	0	0	20	11883	0.002716377	1907	118
flat	4	114	877386	0	0	20	14	6.579e-06	5	1
flat	4	107	878474	0	0	20	132091	0.039731172	22394	3236
flat	4	116	1008458	0	0	20	152002	0.031314618	21784	403
flat	4	117	877410	0	0	20	48305	0.010237003	8793	26
flat	4	115	877386	0	0	20	174979	0.043744547	27626	10902
flat	4	118	877386	0	0	20	31678	0.007373109	4573	582
flat	5	119	878090	0	0	20	213973	0.060640388	40666	8192
flat	5	120	878602	0	0	20	2	2.834e-06	1	1
flat	5	121	877130	0	0	20	1585	0.000695213	536	254
flat	5	124	975370	0	0	20	44662	0.01518302	9990	1921
flat	5	125	877082	0	0	20	20514	0.004892439	5947	1412
flat	5	123	877194	0	0	20	73289	0.022002515	10984	321
flat	5	126	877066	0	0	20	6897	0.001813478	1814	383
flat	5	128	877069	0	0	20	5350	0.001426248	1769	501
flat	5	122	877066	0	0	20	259449	0.062586691	55885	11738
flat	5	129	877090	0	0	20	26884	0.006097442	4037	13
flat	5	130	877066	0	0	20	24388	0.005622773	3075	26
flat	5	131	877070	0	0	20	6782	0.001675516	842	179
flat	5	127	1008138	0	0	20	622051	0.179747896	126525	10521
flat	6	132	878090	0	0	20	1	1.352e-06	1	1
flat	6	133	878602	0	0	20	1	9.01e-07	1	1
flat	6	134	877130	0	0	20	3	9.224e-06	1	1
flat	6	137	975370	0	0	20	1	9.52e-07	1	1
flat	6	138	877082	0	0	20	1	9.82e-07	1	1
flat	6	139	877066	0	0	20	1	6.21e-07	1	1
flat	6	140	877069	0	0	20	2	1.743e-06	1	1
flat	6	135	877066	0	0	20	96805	0.022395834	27724	9335
flat	6	136	877194	0	0	20	318429	0.094483556	65479	20413
flat	6	142	877090	0	0	20	2772	0.000972151	1085	740
flat	6	143	877066	0	0	20	105075	0.025733134	15664	3201
flat	6	144	877070	0	0	20	10550	0.002004139	1767	366
flat	6	141	1008138	0	0	20	515359	0.13825359	112510	13418
flat	6	145	878090	0	0	20	1	1.362e-06	1	1
flat	6	146	976930	0	0	20	4	8.733e-06	0	0
flat	6	149	976906	0	0	20	1	9.71e-07	1	0
flat	6	150	977034	0	0	20	3	1.0535e-05	1	1
flat	6	152	976906	0	0	20	11262	0.003823136	1469	346
flat	6	153	976910	0	0	20	3	3.144e-06	1	1
flat	6	147	878090	0	0	20	43953	0.010091178	10376	2164
flat	6	154	878154	0	0	20	3530	0.000847427	788	9
flat	6	148	878090	0	0	20	43237	0.011447954	8856	1842
flat	6	155	976394	0	0	20	6847	0.00232405	1614	895
