# description Frozen prior cohorts, expected values read from baseline only; no new case selection
cohort	seq	expected	independentOracle
ordinary	24642471761216	-6	false
ordinary	42776161312325	2	false
ordinary	66126664525474	-12	false
ordinary	11172561742375	4	false
ordinary	723643551777345575	-12	false
ordinary	531532426614132766	12	false
ordinary	213441465577256536	-4	false
ordinary	514645421761116632	12	false
ordinary	7176151115554655423212	-8	false
ordinary	1331443473364763461542	10	false
ordinary	5263464347122227247411	4	false
ordinary	2675333712536555667176	10	false
ordinary	26271734331653517317356276	8	false
ordinary	23112543465645555113723671	8	false
ordinary	65224716265165431764114213	-8	false
ordinary	37516462342521142732716157	8	false
ordinary	331264737614273722424447211353	6	false
ordinary	662247122456434747347711166722	-6	false
ordinary	743346322255176373715216355226	-6	false
ordinary	625253317126225313732176655567	6	false
ordinary	5442366777422437755375346323552411	4	false
ordinary	5367563233753361471745745672165162	4	false
ordinary	2364374365353272576477125653746164	4	false
ordinary	3467163624536362644457322732427757	4	false
priorStructural	111211323233353644467757557556	-6	previous packet
priorStructural	1112113235333636444666775755755	0	previous packet
priorStructural	31311112427223237474434774	-6	previous packet
priorStructural	3131111242522323737474464774	-7	previous packet
priorStructural	3131111242722323737774744644	-6	previous packet
priorStructural	13141122222744546555545667676677	-2	previous packet
priorStructural	1131525335373355656767767	0	previous packet
priorStructural	3222525335373355656767767	-5	previous packet
priorStructural	1131525334353755656767767	0	previous packet
priorStructural	3335454454445557667676677	2	previous packet
priorStructural	31433544644556555776766774	2	previous packet
priorStructural	32433544644556555776766774	2	previous packet
priorStructural	31111152533435334455456646466	-5	previous packet
priorStructural	31111152533435374455456646466	-5	previous packet
priorStructural	31111153343733445555456646466	-3	previous packet
priorStructural	5444456555656667777	0	previous packet
priorStructural	323254456555656667777	-3	previous packet
priorStructural	315444456555656667777	0	previous packet
priorStructural	32433363644445555456666	4	previous packet
priorStructural	33334364444465555657666	2	previous packet
priorStructural	313112115222233334444474	-1	previous packet
priorStructural	313112117222233334444474	-1	previous packet
priorStructural	3131121152222333344444747	1	previous packet
priorStructural	41122331311442422553575773737	-6	previous packet
priorStructural	11111222222536333344464466646	3	previous packet
priorStructural	11111222222636333344474466646	3	previous packet
priorStructural	111112222225363333444644666467	3	previous packet
priorStructural	51115252227332323556636665	7	previous packet
priorStructural	411152522252733235335665666	-7	previous packet
priorStructural	5111511252227332323556636665	6	previous packet
priorStructural	1353356666775755657	0	previous packet
priorStructural	5363353666775755657	0	previous packet
priorStructural	122353356666775755657	-9	previous packet
priorStructural	1414242566565655776775	2	previous packet
priorStructural	1414244566565655776775	2	previous packet
priorStructural	1424244566565655776775	2	previous packet
priorStructural	1121141633443434336656776776	-6	previous packet
priorStructural	1131131436443433546656776776	-7	previous packet
priorStructural	2151111213252233336365576666777	3	previous packet
priorStructural	21511112132522333363655566677776	-3	previous packet
priorStructural	21511112232233336365655556677776	-3	previous packet
priorStructural	212112111224336666363633775755757	-2	previous packet
priorStructural	2111416262232425443433346677777	-2	previous packet
priorStructural	2111416262232444243433667777773	-2	previous packet
priorStructural	2111426223242544343364667777773	-2	previous packet
priorStructural	21141121142234373343445755656775	-5	previous packet
priorStructural	21141121142234373343445755677575	-4	previous packet
priorStructural	411211633232244243433	-2	previous packet
priorStructural	411211733232244243433	-2	previous packet
priorStructural	41121163323224424343355	-2	previous packet
priorStructural	3111115252733433357575577	2	previous packet
priorStructural	3111115252733533357556777	6	previous packet
priorStructural	3111115253343335757556777	7	previous packet
priorStructural	1113112322526333355556667676775	5	previous packet
anchors	663152175	-4	false
anchors	41267575	3	false
