# environment {"kind":"environment","node":"v22.16.0","cpu":"AMD EPYC 9V74 80-Core Processor","platform":"linux","arch":"x64","parallelism":4,"workers":1,"repeats":7,"corpusSHA256":"286a2cbabc2802f4ac241796e6c9b4dc318a04b54412abb9207fe02afb763edd","sources":{"line_solver.mjs":"dbb6592bc68131e687b1df01c1faa6700a7afbe73c55325f64606c43d15e6f3a","dense_solver.mjs":"e2b9491107fa1a6c094bece4b3569379ecdec8439fe114df70bfed90c1c1ed30","support.mjs":"20dadf7e44e0433f7b9f13b968dc498c34f7495d9aeac12a548892656de8d58a","confirm.mjs":"6c39f2a8bc4f2ad927301b01c8e5808f087e5100ad4a1859205f8dcf1256d7b4"}}
cohort	pow	budget	repeat	order	mode	totalMs	nodes	hits	writes	drawStops	checks	activeMin	activeMax
ordinary	17	1835008	0	0	dense	120.62465099999997	739382	158698	412131	2975	24	1834992	1835008
ordinary	17	1835008	0	1	baseline	127.38141300000007	850321	159665	483171	0	24	1835008	1835008
ordinary	17	1835008	1	0	baseline	124.005856	850321	159665	483171	0	24	1835008	1835008
ordinary	17	1835008	1	1	dense	125.09805600000004	739382	158698	412131	2975	24	1834992	1835008
ordinary	17	1835008	2	0	dense	120.19116800000006	739382	158698	412131	2975	24	1834992	1835008
ordinary	17	1835008	2	1	baseline	127.59308699999997	850321	159665	483171	0	24	1835008	1835008
ordinary	17	1835008	3	0	baseline	130.29410300000018	850321	159665	483171	0	24	1835008	1835008
ordinary	17	1835008	3	1	dense	123.19370600000002	739382	158698	412131	2975	24	1834992	1835008
ordinary	17	1835008	4	0	dense	119.15170699999976	739382	158698	412131	2975	24	1834992	1835008
ordinary	17	1835008	4	1	baseline	125.41766999999982	850321	159665	483171	0	24	1835008	1835008
ordinary	17	1835008	5	0	baseline	124.22986899999978	850321	159665	483171	0	24	1835008	1835008
ordinary	17	1835008	5	1	dense	123.00751600000012	739382	158698	412131	2975	24	1834992	1835008
ordinary	17	1835008	6	0	dense	119.52081399999997	739382	158698	412131	2975	24	1834992	1835008
ordinary	17	1835008	6	1	baseline	128.11220700000013	850321	159665	483171	0	24	1835008	1835008
priorStructural	17	1835008	0	0	dense	23.15651600000001	79510	34244	49735	707	54	1835008	1835008
priorStructural	17	1835008	0	1	baseline	32.89508500000011	112174	36687	72335	0	54	1835008	1835008
priorStructural	17	1835008	1	0	baseline	25.609144000000015	112174	36687	72335	0	54	1835008	1835008
priorStructural	17	1835008	1	1	dense	22.158756000000267	79510	34244	49735	707	54	1835008	1835008
priorStructural	17	1835008	2	0	dense	23.283354000000145	79510	34244	49735	707	54	1835008	1835008
priorStructural	17	1835008	2	1	baseline	19.352492999999868	112174	36687	72335	0	54	1835008	1835008
priorStructural	17	1835008	3	0	baseline	18.672113999999965	112174	36687	72335	0	54	1835008	1835008
priorStructural	17	1835008	3	1	dense	22.79427799999985	79510	34244	49735	707	54	1835008	1835008
priorStructural	17	1835008	4	0	dense	22.248569000000316	79510	34244	49735	707	54	1835008	1835008
priorStructural	17	1835008	4	1	baseline	18.1778919999997	112174	36687	72335	0	54	1835008	1835008
priorStructural	17	1835008	5	0	baseline	19.14875200000006	112174	36687	72335	0	54	1835008	1835008
priorStructural	17	1835008	5	1	dense	22.49769900000001	79510	34244	49735	707	54	1835008	1835008
priorStructural	17	1835008	6	0	dense	22.171415000000252	79510	34244	49735	707	54	1835008	1835008
priorStructural	17	1835008	6	1	baseline	18.312861999999768	112174	36687	72335	0	54	1835008	1835008
anchors	19	7340032	0	0	dense	1351.8642310000014	7025129	1399109	3990603	78	2	7340014	7340014
anchors	19	7340032	0	1	baseline	1349.4482860000007	6950040	1304108	3960439	0	2	7340032	7340032
anchors	19	7340032	1	0	baseline	1282.6734050000014	6950040	1304108	3960439	0	2	7340032	7340032
anchors	19	7340032	1	1	dense	1419.3154610000001	7025129	1399109	3990603	78	2	7340014	7340014
anchors	19	7340032	2	0	dense	1464.6971549999998	7025129	1399109	3990603	78	2	7340014	7340014
anchors	19	7340032	2	1	baseline	1271.4271689999987	6950040	1304108	3960439	0	2	7340032	7340032
anchors	19	7340032	3	0	baseline	1332.1615130000027	6950040	1304108	3960439	0	2	7340032	7340032
anchors	19	7340032	3	1	dense	1429.7733279999993	7025129	1399109	3990603	78	2	7340014	7340014
anchors	19	7340032	4	0	dense	1447.7153800000015	7025129	1399109	3990603	78	2	7340014	7340014
anchors	19	7340032	4	1	baseline	1434.0447849999982	6950040	1304108	3960439	0	2	7340032	7340032
anchors	19	7340032	5	0	baseline	1526.4957060000015	6950040	1304108	3960439	0	2	7340032	7340032
anchors	19	7340032	5	1	dense	1309.791551000002	7025129	1399109	3990603	78	2	7340014	7340014
anchors	19	7340032	6	0	dense	1302.8890109999993	7025129	1399109	3990603	78	2	7340014	7340014
anchors	19	7340032	6	1	baseline	1275.9452840000013	6950040	1304108	3960439	0	2	7340032	7340032
# complete {"kind":"complete","rootScoreAgreementOnly":true}
