base_pow	repeat	order	mode	active_entries	wall_ms	total_nodes	total_hits	A1_nodes	B_nodes	A2_nodes	A1_ms	B_ms	A2_ms	A1_hits	B_hits	A2_hits	A1_writes	B_writes	A2_writes	A1_bound	B_bound	A2_bound
18	1	0	flatSmall	262144	354.6603369999998	2065343	367660	742612	438725	884006	119.89763600000015	73.42549199999985	161.08977699999969	131686	80055	155919	400792	245679	492143	3	3	3
18	1	1	splitSameTotal	262144	427.5799830000001	2443449	435859	792895	464488	1186066	158.7689049999999	75.67979800000012	193.02801499999987	141230	86001	208628	427506	259716	656572	3	3	3
18	1	2	splitExtra	524288	354.48956499999986	2018571	361117	742612	438725	837234	129.0955429999999	73.13635699999986	152.2044249999999	131686	80055	149376	400792	245679	467932	3	3	3
18	1	3	flatLarge	524288	376.8181440000003	1935328	344169	716129	426562	792637	133.00309300000026	84.3185239999998	159.44096500000023	125628	77403	141138	386588	239107	444360	3	3	3
18	1	4	groupedSmall	262144	356.6773370000001	2018571	361117	742612	438725	837234	117.12211800000023	75.94420499999978	163.56092800000033	131686	80055	149376	400792	245679	467932	3	3	3
18	1	5	groupedLarge	524288	452.4472459999997	1913389	340685	716129	426562	770698	147.97985900000003	97.3443299999999	207.072541	125628	77403	137654	386588	239107	433113	3	3	3
18	2	0	flatSmall	262144	387.95080099999996	2065343	367660	742612	438725	884006	127.82303200000024	99.12447799999973	160.94882899999993	131686	80055	155919	400792	245679	492143	3	3	3
18	2	1	groupedLarge	524288	466.1974	1913389	340685	716129	426562	770698	183.71968300000026	98.27084600000035	184.1537699999999	125628	77403	137654	386588	239107	433113	3	3	3
18	2	2	groupedSmall	262144	341.2167179999997	2018571	361117	742612	438725	837234	126.78500199999962	81.14126100000067	133.2400090000001	131686	80055	149376	400792	245679	467932	3	3	3
18	2	3	flatLarge	524288	376.480767	1935328	344169	716129	426562	792637	120.6926510000003	82.92877699999917	172.80967600000076	125628	77403	141138	386588	239107	444360	3	3	3
18	2	4	splitExtra	524288	333.3428409999997	2018571	361117	742612	438725	837234	125.17714700000033	74.95881500000087	133.1569639999998	131686	80055	149376	400792	245679	467932	3	3	3
18	2	5	splitSameTotal	262144	365.43914199999926	2443449	435859	792895	464488	1186066	116.29908200000045	73.3444899999995	175.74443400000018	141230	86001	208628	427506	259716	656572	3	3	3
18	3	0	splitExtra	524288	341.26234699999986	2018571	361117	742612	438725	837234	118.927009	81.2038050000001	141.0799649999999	131686	80055	149376	400792	245679	467932	3	3	3
18	3	1	flatLarge	524288	372.2543990000004	1935328	344169	716129	426562	792637	151.07585999999992	75.96332400000028	145.1673149999997	125628	77403	141138	386588	239107	444360	3	3	3
18	3	2	groupedSmall	262144	319.0697310000005	2018571	361117	742612	438725	837234	115.86826500000006	67.68084200000067	135.4719410000007	131686	80055	149376	400792	245679	467932	3	3	3
18	3	3	groupedLarge	524288	458.4565329999996	1913389	340685	716129	426562	770698	155.651433	109.74877300000026	192.99972200000047	125628	77403	137654	386588	239107	433113	3	3	3
18	3	4	flatSmall	262144	390.4960350000001	2065343	367660	742612	438725	884006	141.66377100000045	98.5726250000007	150.18554700000095	131686	80055	155919	400792	245679	492143	3	3	3
18	3	5	splitSameTotal	262144	396.3045140000013	2443449	435859	792895	464488	1186066	120.92576899999949	75.97572000000036	199.32159200000024	141230	86001	208628	427506	259716	656572	3	3	3
19	1	0	flatSmall	524288	443.39298099999905	1935328	344169	716129	426562	792637	129.2878980000005	124.01686500000142	190.02679499999977	125628	77403	141138	386588	239107	444360	3	3	3
19	1	1	splitSameTotal	524288	391.33770000000004	2018571	361117	742612	438725	837234	148.08998900000006	93.05592500000057	150.13342799999918	131686	80055	149376	400792	245679	467932	3	3	3
19	1	2	splitExtra	1048576	444.4652709999991	1913389	340685	716129	426562	770698	170.23855699999876	99.61513700000069	174.55269699999917	125628	77403	137654	386588	239107	433113	3	3	3
19	1	3	flatLarge	1048576	482.59589499999856	1883891	334691	705611	421378	756902	192.4081669999996	99.37053000000014	190.76423800000157	123795	75973	134923	381122	236503	426078	3	3	3
19	1	4	groupedSmall	524288	354.77463999999964	1913389	340685	716129	426562	770698	135.57514099999935	79.95210299999962	139.19342499999948	125628	77403	137654	386588	239107	433113	3	3	3
19	1	5	groupedLarge	1048576	513.9116430000013	1875595	333310	705611	421378	748606	186.45601700000043	121.5578459999997	205.84108399999968	123795	75973	133542	381122	236503	421848	3	3	3
19	2	0	flatSmall	524288	395.64979700000004	1935328	344169	716129	426562	792637	151.68644099999983	89.74069999999847	154.16539100000045	125628	77403	141138	386588	239107	444360	3	3	3
19	2	1	groupedLarge	1048576	516.7307669999991	1875595	333310	705611	421378	748606	187.60794700000042	113.91726000000017	215.14620100000138	123795	75973	133542	381122	236503	421848	3	3	3
19	2	2	groupedSmall	524288	392.71526900000026	1913389	340685	716129	426562	770698	159.83891700000095	84.55066000000079	148.27209199999925	125628	77403	137654	386588	239107	433113	3	3	3
19	2	3	flatLarge	1048576	539.937374000001	1883891	334691	705611	421378	756902	186.31852999999865	119.68957000000046	233.81732499999998	123795	75973	134923	381122	236503	426078	3	3	3
19	2	4	splitExtra	1048576	407.07941500000015	1913389	340685	716129	426562	770698	165.8572060000006	93.41784899999948	147.74990900000012	125628	77403	137654	386588	239107	433113	3	3	3
19	2	5	splitSameTotal	524288	320.0377840000001	2018571	361117	742612	438725	837234	114.33844200000021	73.69914100000096	131.9499160000014	131686	80055	149376	400792	245679	467932	3	3	3
19	3	0	splitExtra	1048576	362.1401440000009	1913389	340685	716129	426562	770698	134.1258940000007	79.84176600000137	148.1207259999992	125628	77403	137654	386588	239107	433113	3	3	3
19	3	1	flatLarge	1048576	464.49218199999996	1883891	334691	705611	421378	756902	166.85066799999913	97.67317000000003	199.9148329999989	123795	75973	134923	381122	236503	426078	3	3	3
19	3	2	groupedSmall	524288	369.11910499999976	1913389	340685	716129	426562	770698	142.8220160000019	81.19107300000178	145.0555209999984	125628	77403	137654	386588	239107	433113	3	3	3
19	3	3	groupedLarge	1048576	488.03106000000116	1875595	333310	705611	421378	748606	173.4846789999974	113.51852199999848	200.9766320000017	123795	75973	133542	381122	236503	421848	3	3	3
19	3	4	flatSmall	524288	415.6190339999994	1935328	344169	716129	426562	792637	152.91812700000082	96.36747800000012	166.27612500000032	125628	77403	141138	386588	239107	444360	3	3	3
19	3	5	splitSameTotal	524288	334.3944640000009	2018571	361117	742612	438725	837234	119.62491100000261	80.17926799999987	134.53746500000125	131686	80055	149376	400792	245679	467932	3	3	3
20	1	0	flatSmall	1048576	491.8194599999988	1883891	334691	705611	421378	756902	194.09130699999878	103.47389699999985	194.1989930000018	123795	75973	134923	381122	236503	426078	3	3	3
20	1	1	splitSameTotal	1048576	365.20383500000025	1913389	340685	716129	426562	770698	128.30309099999795	77.66049199999907	159.1831659999989	125628	77403	137654	386588	239107	433113	3	3	3
20	1	2	splitExtra	2097152	464.49284500000067	1875595	333310	705611	421378	748606	173.90446800000063	108.06661499999973	182.4679819999983	123795	75973	133542	381122	236503	421848	3	3	3
20	1	3	flatLarge	2097152	569.8740870000001	1863060	330437	700536	418957	743567	219.04097700000057	121.76692299999922	229.01135400000203	122606	75332	132499	378679	235308	419418	3	3	3
20	1	4	groupedSmall	1048576	475.9605909999991	1875595	333310	705611	421378	748606	190.00285900000017	98.91467799999737	186.98562700000184	123795	75973	133542	381122	236503	421848	3	3	3
20	1	5	groupedLarge	2097152	586.8917040000015	1859545	329912	700536	418957	740052	211.49648999999772	135.3506269999998	239.9815320000016	122606	75332	131974	378679	235308	417611	3	3	3
20	2	0	flatSmall	1048576	490.19358999999895	1883891	334691	705611	421378	756902	193.6957169999987	105.48316400000112	190.95768300000054	123795	75973	134923	381122	236503	426078	3	3	3
20	2	1	groupedLarge	2097152	543.6931410000034	1859545	329912	700536	418957	740052	195.22513400000025	124.11566200000016	224.24573500000042	122606	75332	131974	378679	235308	417611	3	3	3
20	2	2	groupedSmall	1048576	488.11176400000113	1875595	333310	705611	421378	748606	179.77489699999933	121.16034199999922	187.11460100000113	123795	75973	133542	381122	236503	421848	3	3	3
