seq	workers	totalPow	mode	repeat	score	sec	nodes	ttHits	crossHits	tasks	mapResolves	fallbackTasks	placementSig2s
663152175	4	20	flat	1	-4	0.22304388	1094892	218280	30684	107	107	107	
663152175	4	20	flat	2	-4	0.161155136	1107383	221835	68710	107	107	107	
663152175	4	20	flat	3	-4	0.169325241	1106591	222289	70628	107	107	107	
663152175	4	20	frozen1	1	-4	0.203166122	1302450	246705	19362	106	106	94	668757
663152175	4	20	frozen1	2	-4	0.189989242	1322050	250821	74959	106	106	94	668757
663152175	4	20	frozen1	3	-4	0.198892436	1320615	250614	72933	106	106	94	668757
663152175	4	20	replan1	1	-4	0.209457436	1467222	275137	46004	106	106	94	668757,670293,668757,668757
663152175	4	20	replan1	2	-4	0.202655615	1481926	279522	82268	106	106	94	668757,670293,668757,668757
663152175	4	20	replan1	3	-4	0.187357177	1475978	278382	71237	106	106	94	668757,670293,668757,668757
663152175	4	20	cumulative1	1	-4	0.188249218	1313174	249358	41139	106	106	94	668757,668757,668757,668757
663152175	4	20	cumulative1	2	-4	0.213753185	1324273	252002	70621	106	106	94	668757,668757,668757,668757
663152175	4	20	cumulative1	3	-4	0.163177998	1315686	250439	68382	106	106	94	668757,668757,668757,668757
41267575	4	20	flat	1	3	1.040514953	9060865	1724725	361551	237	237	237	
41267575	4	20	flat	2	3	1.111031827	9158319	1710842	353867	238	238	238	
41267575	4	20	flat	3	3	0.978255306	8915310	1675597	355645	232	232	232	
41267575	4	20	frozen1	1	3	0.980918086	10763859	1977153	369096	237	237	214	878090
41267575	4	20	frozen1	2	3	0.90485142	10613256	1911944	320401	238	238	215	878090
41267575	4	20	frozen1	3	3	0.918408094	10892299	1970853	328569	239	239	216	878090
41267575	4	20	replan1	1	3	1.181678523	10840973	1907593	272042	229	229	213	878090,976906,878090,975498,1008138
41267575	4	20	replan1	2	3	0.998099248	10706688	1898778	254502	227	227	209	878090,976906,878090,975498,1008138
41267575	4	20	replan1	3	3	1.43083464	11160112	1957422	271322	244	244	227	878090,976906,878090,975498,1008138
41267575	4	20	cumulative1	1	3	1.105114042	10461398	1904008	291980	237	237	214	878090,878090,878090,878090,878090
41267575	4	20	cumulative1	2	3	1.085267641	11060103	1982140	334627	239	239	217	878090,878090,878090,975498,878090
41267575	4	20	cumulative1	3	3	1.123588842	11029555	1983189	325415	238	238	216	878090,878090,878090,975498,878090
41267575	4	21	flat	1	3	1.256370372	8542632	1721703	465805	237	237	237	
41267575	4	21	flat	2	3	1.264503037	8508243	1714971	403593	234	234	234	
41267575	4	21	flat	3	3	1.287572034	8563583	1723048	437391	237	237	237	
41267575	4	21	frozen1	1	3	1.204070095	9368604	1782742	385853	237	237	214	878090
41267575	4	21	frozen1	2	3	1.418099857	9270497	1765780	313258	238	238	215	878090
41267575	4	21	frozen1	3	3	1.202936216	9267324	1821675	404527	239	239	216	878090
41267575	4	21	replan1	1	3	1.447491202	10150202	1870486	348178	237	237	220	878090,976906,878090,975498,1008138
41267575	4	21	replan1	2	3	1.120818928	9875821	1823054	346866	234	234	217	878090,976906,878090,975498,1008138
41267575	4	21	replan1	3	3	1.304184572	10131282	1884383	362720	231	231	214	878090,976906,878090,975498,1008138
41267575	4	21	cumulative1	1	3	1.395955971	9188089	1772850	368704	233	233	211	878090,878090,878090,975498,878090
41267575	4	21	cumulative1	2	3	1.33146546	9395143	1783222	370851	241	241	219	878090,878090,878090,975498,878090
41267575	4	21	cumulative1	3	3	1.282126658	9381544	1798256	389831	239	239	216	878090,878090,878090,878090,878090
