mode	pass	id	sig2	descId	offsetEntries	tablePow	nodes	seconds	ttHits	crossHits
promote1	1	1	878090	0	0	20	11365	0.008884923	1275	0
promote1	1	2	878090	0	0	20	850	0.000792947	129	0
promote1	1	4	1009162	0	0	20	6	1.0535e-05	0	0
promote1	1	5	878114	0	0	20	1262	0.000985691	112	0
promote1	1	3	878218	0	0	20	1725	0.002700444	219	5
promote1	1	6	878090	0	0	20	991	0.000884832	134	5
promote1	1	7	878094	0	0	20	832	0.00093789	113	54
promote1	2	8	878090	1	524288	19	3952	0.002917093	367	7
promote1	2	10	877130	0	0	19	211	7.8065e-05	10	0
promote1	2	11	975370	0	0	19	1079	0.00027824	83	0
promote1	2	12	877082	0	0	19	1013	0.000253563	94	0
promote1	2	13	877066	0	0	19	446	0.000121699	47	0
promote1	2	14	877069	0	0	19	314	9.8305e-05	37	0
promote1	2	9	878602	0	0	19	7055	0.005502607	690	0
promote1	2	16	976930	0	0	19	3	3.044e-06	1	1
promote1	2	17	976906	0	0	19	3	3.926e-06	1	1
promote1	2	15	878090	1	524288	19	1	8.583e-06	1	0
promote1	2	18	977034	0	0	19	3	7.6292e-05	1	1
promote1	2	20	878090	1	524288	19	2611	0.001004278	275	0
promote1	2	23	878154	0	0	19	819	0.00030605	60	0
promote1	2	19	976906	0	0	19	7152	0.00167842	869	261
promote1	2	24	976394	0	0	19	659	0.000262155	47	0
promote1	2	25	878106	0	0	19	2334	0.000751666	218	2
promote1	2	26	878093	0	0	19	860	0.000330917	111	0
promote1	2	21	878090	1	524288	19	3802	0.008344668	475	151
promote1	2	27	878666	0	0	19	280	0.000268425	30	19
promote1	2	28	976906	0	0	19	1934	0.001761402	172	57
promote1	2	29	878618	0	0	19	1290	0.000959061	149	51
promote1	2	30	878605	0	0	19	649	0.00053692	84	33
promote1	2	22	976906	0	0	19	12247	0.013942495	1226	13
promote1	2	31	878602	0	0	19	1	5.077e-06	1	1
promote1	2	33	878602	0	0	19	1506	0.001259403	209	86
promote1	2	34	878858	0	0	19	1	6.91e-06	0	0
promote1	2	32	1009674	0	0	19	2624	0.001904483	269	0
promote1	2	36	878626	0	0	19	4	1.1456e-05	0	0
promote1	2	38	878602	0	0	19	4	1.2228e-05	0	0
promote1	2	39	878730	0	0	19	4	1.403e-05	0	0
promote1	2	35	878618	0	0	19	1400	0.000525313	166	57
promote1	2	40	878602	0	0	19	12	2.763e-05	0	0
promote1	2	41	878605	0	0	19	784	0.000360881	121	40
promote1	2	37	878602	0	0	19	4784	0.001367792	638	215
promote1	2	42	878606	0	0	19	4	1.2018e-05	0	0
promote1	3	43	878090	1	524288	19	237913	0.054727417	38078	1378
promote1	3	44	878090	1	524288	19	5222	0.001913245	712	189
promote1	3	46	1009162	0	0	19	5	5.248e-06	3	3
promote1	3	45	878218	0	0	19	7457	0.004035959	1623	6
promote1	3	47	878114	0	0	19	7756	0.003264733	1668	268
promote1	3	48	878090	1	524288	19	7025	0.002815402	1364	238
promote1	3	49	878094	0	0	19	9338	0.00318745	2249	460
promote1	4	50	878090	1	524288	19	56550	0.011468475	10793	791
promote1	4	52	877130	0	0	19	1391	0.000554426	324	105
promote1	4	51	878602	0	0	19	6078	0.00209953	482	14
promote1	4	53	975370	0	0	19	14049	0.004622431	2796	406
promote1	4	56	877082	0	0	19	11506	0.003148302	2185	304
promote1	4	57	877066	0	0	19	4391	0.001206135	990	149
promote1	4	58	877069	0	0	19	2744	0.00077437	713	114
promote1	4	54	877066	0	0	19	116085	0.023569211	19296	1381
promote1	4	55	877194	0	0	19	330222	0.06234135	43018	1590
promote1	4	59	878090	1	524288	19	1	4.387e-06	1	1
promote1	4	60	976930	0	0	19	2	9.664e-06	1	1
promote1	4	63	976906	0	0	19	1	1.582e-06	1	1
promote1	4	64	977034	0	0	19	1	4.587e-06	1	1
promote1	4	62	878090	1	524288	19	21850	0.008425898	4743	1664
promote1	4	67	878154	0	0	19	5407	0.001593716	859	0
promote1	4	61	878090	1	524288	19	48454	0.011887292	8616	536
promote1	4	68	976394	0	0	19	10198	0.002725901	2007	23
promote1	4	69	878106	0	0	19	44543	0.007851953	7898	1281
promote1	4	70	878093	0	0	19	26732	0.006845843	4333	362
promote1	4	71	878666	0	0	19	1542	0.000426908	375	83
promote1	4	72	976906	0	0	19	17366	0.004426634	3723	370
